"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1347","Открытие формы регистра сведений ""Оповещение пользователям"" (ЯРВЕТ_ОповещениеПользователям)","","Thu Feb 20 14:10:53 MSK 2025","passed","Thu Feb 20 14:10:55 MSK 2025","","","",""
"","1338","Открытие формы отчета ""Сравнение продаж двух периодов"" (ПродажиСравнениеДвухПериодов)","","Thu Feb 20 14:04:37 MSK 2025","passed","Thu Feb 20 14:04:38 MSK 2025","","","",""
"","1353","Открытие формы отчета ""Неоформленные недостачи и излишки товаров"" (ОформлениеИзлишковНедостачТоваров)","","Thu Feb 20 14:04:01 MSK 2025","passed","Thu Feb 20 14:04:02 MSK 2025","","","",""
"","406","Открытие формы регистра сведений ""ММП: Настройки"" (mmНастройки)","","Thu Feb 20 14:07:54 MSK 2025","passed","Thu Feb 20 14:07:55 MSK 2025","","","",""
"","1113","Копирование элемента документа ""ЯРВЕТ_Планы доходов расходов"" (ЯРВЕТ_ПланыДоходовРасходов)","","Thu Feb 20 13:45:58 MSK 2025","passed","Thu Feb 20 13:45:59 MSK 2025","","","",""
"","1162","Открытие формы отчета ""Книга продаж"" (КнигаПродаж)","","Thu Feb 20 14:03:24 MSK 2025","passed","Thu Feb 20 14:03:25 MSK 2025","","","",""
"","437","Открытие формы регистра сведений ""Источники первичного интереса"" (ИсточникиПервичногоИнтереса)","","Thu Feb 20 14:08:24 MSK 2025","passed","Thu Feb 20 14:08:25 MSK 2025","","","",""
"","1391","Открытие формы отчета ""План-факт закупки (менеджеры)"" (ПланФактЗакупкиМенеджеры)","","Thu Feb 20 13:59:22 MSK 2025","passed","Thu Feb 20 13:59:24 MSK 2025","","","",""
"","1027","Копирование элемента документа ""ЯРВЕТ_Оплата бонусными баллыми"" (ЯРВЕТ_ОплатаБонуснымиБаллыми)","","Thu Feb 20 13:45:14 MSK 2025","passed","Thu Feb 20 13:45:15 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","610","Ввод на основании документа ""Возврат товаров между организациями""","","Thu Feb 20 14:12:14 MSK 2025","passed","Thu Feb 20 14:12:14 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","1328","Ввод на основании документа ""Передача товаров между организациями""","","Thu Feb 20 14:13:13 MSK 2025","passed","Thu Feb 20 14:13:14 MSK 2025","","","",""
"","46875","Открытие формы регистра сведений ""Настройки открытия форм при начале работы программы"" (НастройкиОткрытияФормПриНачалеРаботыСистемы)","","Thu Feb 20 14:08:54 MSK 2025","passed","Thu Feb 20 14:09:41 MSK 2025","","","",""
"","6863","Копирование реестра развозки","","Thu Feb 20 13:41:47 MSK 2025","passed","Thu Feb 20 13:41:54 MSK 2025","","","",""
"","1649","Копирование элемента документа ""Отчет банка по операциям эквайринга"" (ОтчетБанкаПоОперациямЭквайринга)","","Thu Feb 20 13:45:26 MSK 2025","passed","Thu Feb 20 13:45:28 MSK 2025","","","",""
"","1375","Открытие формы отчета ""Продажи между организациями"" (ПродажиМеждуОрганизациями)","","Thu Feb 20 14:04:33 MSK 2025","passed","Thu Feb 20 14:04:34 MSK 2025","","","",""
"","1501","Открытие формы отчета ""Исполнение распоряжений на поступление"" (ИсполнениеРаспоряженийНаПоступление)","","Thu Feb 20 14:03:08 MSK 2025","passed","Thu Feb 20 14:03:09 MSK 2025","","","",""
"","1420","Открытие формы регистра сведений ""Кеш представлений адресов (Dadata)"" (ИнтеграцияDadataКешСервиса)","","Thu Feb 20 14:11:04 MSK 2025","passed","Thu Feb 20 14:11:06 MSK 2025","","","",""
"","1273","Открытие формы отчета ""Товарный календарь"" (ТоварныйКалендарь)","","Thu Feb 20 14:05:44 MSK 2025","passed","Thu Feb 20 14:05:45 MSK 2025","","","",""
"","1425","Копирование элемента документа ""Сверка взаиморасчетов"" (СверкаВзаиморасчетов)","","Thu Feb 20 13:47:06 MSK 2025","passed","Thu Feb 20 13:47:07 MSK 2025","","","",""
"","1334","Открытие формы регистра сведений ""Курсы валют"" (КурсыВалют)","","Thu Feb 20 14:08:26 MSK 2025","passed","Thu Feb 20 14:08:28 MSK 2025","","","",""
"","4703","Открытие формы отчета ""Деятельность организации"" (ДеятельностьОрганизации)","","Thu Feb 20 13:57:49 MSK 2025","passed","Thu Feb 20 13:57:54 MSK 2025","","","",""
"","1375","Открытие формы регистра сведений ""Значения групп доступа по умолчанию"" (ЗначенияГруппДоступаПоУмолчанию)","","Thu Feb 20 14:08:19 MSK 2025","passed","Thu Feb 20 14:08:20 MSK 2025","","","",""
"","6332","Копирование элемента документа ""Заказ клиента"" (ЗаказКлиента)","","Thu Feb 20 13:43:22 MSK 2025","passed","Thu Feb 20 13:43:28 MSK 2025","","","",""
"Как разработчик
Хочу иметь возможность выполнить шаг по условию
Чтобы выполнять сложные бизнес-процессы","672","Выполнение шага по условию","","Thu Feb 20 14:14:51 MSK 2025","passed","Thu Feb 20 14:14:51 MSK 2025","","","",""
"Как Пользователь
Я хочу иметь возможность выполнять различные файловые операции в тексте фич
Чтобы я мог проще протестировать и автоматизировать больше действий на 1C совместимо с 1bdd","250","Удаление каталога","","Thu Feb 20 14:15:11 MSK 2025","passed","Thu Feb 20 14:15:11 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","3656","Ввод на основании документа ""Заказ поставщику""","","Thu Feb 20 14:12:36 MSK 2025","passed","Thu Feb 20 14:12:40 MSK 2025","","","",""
"","469","Открытие формы регистра сведений ""Протокол работы с сервисом распознавания"" (ПротоколРаботыССервисомРаспознавания)","","Thu Feb 20 14:11:36 MSK 2025","passed","Thu Feb 20 14:11:37 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","2109","Ввод на основании документа ""Поступление услуг и прочих активов""","","Thu Feb 20 14:13:33 MSK 2025","passed","Thu Feb 20 14:13:35 MSK 2025","","","",""
"","1548","Открытие формы отчета ""Размещение товаров на адресном складе"" (ЗаполненностьСклада)","","Thu Feb 20 14:02:51 MSK 2025","passed","Thu Feb 20 14:02:52 MSK 2025","","","",""
"","1812","Копирование элемента документа ""Акт о расхождениях"" (АктОРасхождениях)","","Thu Feb 20 13:42:49 MSK 2025","passed","Thu Feb 20 13:42:51 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы чтобы у меня была возможность сделать паузу при выполнении шагов с заданным числом секунд
Чтобы я мог дать нужным элементам управления отобразиться на экране","4187","Пауза","","Thu Feb 20 14:14:27 MSK 2025","passed","Thu Feb 20 14:14:32 MSK 2025","","","",""
"","1141","Копирование элемента документа ""Активация промокодов"" (АктивацияПромокодов)","","Thu Feb 20 13:42:52 MSK 2025","passed","Thu Feb 20 13:42:53 MSK 2025","","","",""
"","1390","Открытие формы регистра сведений ""Объекты интеграции"" (сшпОбъектыИнтеграции)","","Thu Feb 20 14:11:14 MSK 2025","passed","Thu Feb 20 14:11:16 MSK 2025","","","",""
"Как Разработчик
Я Хочу чтобы проверялось открытие формы всех элементов этой подсистемы
Чтобы я мог гарантировать работоспособность заполнения форм на основании","1665","Ввод на основании документа ""Заправки""","","Thu Feb 20 14:12:41 MSK 2025","passed","Thu Feb 20 14:12:42 MSK 2025","","","",""
"Как разработчик
Хочу иметь возможность выполнить шаг по условию
Чтобы выполнять сложные бизнес-процессы","95","Выполнение условий. Если Ложь, затем Иначе.","","Thu Feb 20 14:14:59 MSK 2025","passed","Thu Feb 20 14:14:59 MSK 2025","","","",""
"","515","Открытие формы отчета ""Пересечения сегмента партнеров"" (ПересеченияСегментаПартнеров)","","Thu Feb 20 14:04:10 MSK 2025","passed","Thu Feb 20 14:04:11 MSK 2025","","","",""
"","1469","Копирование элемента документа ""Регистрация цен номенклатуры поставщика"" (РегистрацияЦенНоменклатурыПоставщика)","","Thu Feb 20 13:46:47 MSK 2025","passed","Thu Feb 20 13:46:48 MSK 2025","","","",""
